file,tool,orig_bytes,comp_bytes,compress_s
silesia/dickens,zip,10192446,3854829,0.71
silesia/dickens,bzip2,10192446,2799520,0.66
silesia/dickens,rar,10192446,3032424,0.75
silesia/dickens,xz,10192446,2831212,6.42
silesia/mozilla,zip,51220480,19044490,5.95
silesia/mozilla,bzip2,51220480,17914392,3.09
silesia/mozilla,rar,51220480,15147513,3.17
silesia/mozilla,xz,51220480,13376240,24.20
silesia/mr,zip,9970564,3660888,1.56
silesia/mr,bzip2,9970564,2441280,0.69
silesia/mr,rar,9970564,2775664,0.77
silesia/mr,xz,9970564,2751892,6.37
silesia/nci,zip,33553445,2988095,1.69
silesia/nci,bzip2,33553445,1812734,3.83
silesia/nci,rar,33553445,1858838,1.43
silesia/nci,xz,33553445,1449272,19.16
silesia/ooffice,zip,6152192,3093020,0.43
silesia/ooffice,bzip2,6152192,2862526,0.39
silesia/ooffice,rar,6152192,2302529,0.36
silesia/ooffice,xz,6152192,2427224,2.41
silesia/osdb,zip,10085684,3673271,0.36
silesia/osdb,bzip2,10085684,2802792,0.65
silesia/osdb,rar,10085684,3237063,0.75
silesia/osdb,xz,10085684,2844556,4.52
silesia/reymont,zip,6627202,1823290,0.88
silesia/reymont,bzip2,6627202,1246230,0.43
silesia/reymont,rar,6627202,1444933,0.39
silesia/reymont,xz,6627202,1315592,3.96
silesia/samba,zip,21606400,5402804,0.89
silesia/samba,bzip2,21606400,4549759,1.25
silesia/samba,rar,21606400,4107454,1.24
silesia/samba,xz,21606400,3739524,10.73
silesia/sao,zip,7251944,5326014,0.45
silesia/sao,bzip2,7251944,4940524,0.54
silesia/sao,rar,7251944,5542741,0.38
silesia/sao,xz,7251944,4425664,2.94
silesia/webster,zip,41458703,12073569,2.10
silesia/webster,bzip2,41458703,8644714,2.99
silesia/webster,rar,41458703,9030482,3.52
silesia/webster,xz,41458703,8368672,31.07
silesia/x-ray,zip,8474240,6045132,0.31
silesia/x-ray,bzip2,8474240,4051112,0.53
silesia/x-ray,rar,8474240,4162449,0.59
silesia/x-ray,xz,8474240,4491264,3.45
silesia/xml,zip,5345280,658999,0.16
silesia/xml,bzip2,5345280,441186,0.49
silesia/xml,rar,5345280,484735,0.18
silesia/xml,xz,5345280,434892,1.67
canterbury/alice29.txt,zip,152089,54264,0.01
canterbury/alice29.txt,bzip2,152089,43202,0.01
canterbury/alice29.txt,rar,152089,51262,0.02
canterbury/alice29.txt,xz,152089,48528,0.07
canterbury/asyoulik.txt,zip,125179,48872,0.01
canterbury/asyoulik.txt,bzip2,125179,39569,0.01
canterbury/asyoulik.txt,rar,125179,47009,0.01
canterbury/asyoulik.txt,xz,125179,44592,0.06
canterbury/cp.html,zip,24603,8034,0.00
canterbury/cp.html,bzip2,24603,7624,0.00
canterbury/cp.html,rar,24603,8156,0.01
canterbury/cp.html,xz,24603,7652,0.02
canterbury/fields.c,zip,11150,3209,0.00
canterbury/fields.c,bzip2,11150,3039,0.00
canterbury/fields.c,rar,11150,3202,0.01
canterbury/fields.c,xz,11150,3032,0.01
canterbury/grammar.lsp,zip,3721,1316,0.00
canterbury/grammar.lsp,bzip2,3721,1283,0.00
canterbury/grammar.lsp,rar,3721,1359,0.01
canterbury/grammar.lsp,xz,3721,1292,0.01
canterbury/kennedy.xls,zip,1029744,207123,0.34
canterbury/kennedy.xls,bzip2,1029744,130280,0.04
canterbury/kennedy.xls,rar,1029744,35651,0.04
canterbury/kennedy.xls,xz,1029744,51868,0.92
canterbury/lcet10.txt,zip,426754,144533,0.02
canterbury/lcet10.txt,bzip2,426754,107706,0.03
canterbury/lcet10.txt,rar,426754,126510,0.03
canterbury/lcet10.txt,xz,426754,119488,0.16
canterbury/plrabn12.txt,zip,481861,194426,0.04
canterbury/plrabn12.txt,bzip2,481861,145577,0.04
canterbury/plrabn12.txt,rar,481861,175669,0.03
canterbury/plrabn12.txt,xz,481861,165456,0.18
canterbury/ptt5,zip,513216,52315,0.05
canterbury/ptt5,bzip2,513216,49759,0.01
canterbury/ptt5,rar,513216,49348,0.03
canterbury/ptt5,xz,513216,39860,0.29
canterbury/sum,zip,38240,12932,0.01
canterbury/sum,bzip2,38240,12909,0.00
canterbury/sum,rar,38240,11684,0.01
canterbury/sum,xz,38240,9500,0.03
canterbury/xargs.1,zip,4227,1830,0.00
canterbury/xargs.1,bzip2,4227,1762,0.00
canterbury/xargs.1,rar,4227,1860,0.01
canterbury/xargs.1,xz,4227,1812,0.01
enwik8,zip,100000000,36475886,4.80
enwik8,bzip2,100000000,29008758,6.38
enwik8,rar,100000000,26922421,8.07
enwik8,xz,100000000,24831648,88.60
